YEAR,NAME,SAEMHI_LB90,SAEMHI_PT,SAEMHI_UB90,SAEPOVRT0_17_PT,SAEPOVALL_PT,SAEPOVRTALL_PT,YEAR,state,county
2013,Sutter County,44605,47903,51201,25.4,16288,17.2,2013,06,101
2013,Tehama County,40144,43459,46774,28.7,11148,17.9,2013,06,103
2013,Trinity County,32192,35708,39224,34.6,2914,22.1,2013,06,105
2013,Tulare County,37619,39657,41695,39.8,133050,29.6,2013,06,107
2013,Tuolumne County,48409,50774,53139,21.6,7307,14.6,2013,06,109
2013,Ventura County,74756,76513,78270,18.0,99227,12.0,2013,06,111
2013,Yolo County,51068,55011,58954,17.9,35367,17.8,2013,06,113
2013,Yuba County,38572,41824,45076,28.0,14876,20.6,2013,06,115
2013,Adams County,52548,54876,57204,17.5,61226,13.2,2013,08,001
2013,Alamosa County,33855,37484,41113,35.3,3865,25.6,2013,08,003
2013,Arapahoe County,59673,61092,62511,16.6,73871,12.3,2013,08,005
2013,Archuleta County,40703,44417,48131,26.1,1822,15.1,2013,08,007
2013,Baca County,32581,35787,38993,29.3,685,19.1,2013,08,009
2013,Bent County,31107,34440,37773,37.0,1336,33.0,2013,08,011
2013,Boulder County,69489,71405,73321,12.8,40438,13.5,2013,08,013
2013,Broomfield County,74311,79117,83923,7.0,3754,6.4,2013,08,014
2013,Chaffee County,44410,48012,51614,19.3,2219,13.0,2013,08,015
2013,Cheyenne County,45546,50379,55212,20.3,240,13.1,2013,08,017
2013,Clear Creek County,57682,63489,69296,13.5,813,9.1,2013,08,019
2013,Conejos County,31755,34923,38091,30.4,1890,22.9,2013,08,021
2013,Costilla County,25614,28233,30852,37.8,915,26.0,2013,08,023
2013,Crowley County,28783,31477,34171,38.5,1294,43.2,2013,08,025
2013,Custer County,42555,47268,51981,29.7,595,14.4,2013,08,027
2013,Delta County,38165,41730,45295,21.5,4492,15.1,2013,08,029
2013,Denver County,49971,51156,52341,28.7,118670,18.7,2013,08,031
2013,Dolores County,38155,42416,46677,18.3,283,14.0,2013,08,033
